arrival_date,state,district,market,commodity,modal_price
2026-08-12,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-13,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,1575.91
2026-08-14,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-15,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-16,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-17,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-18,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-19,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-21,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-22,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-23,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,894.61
2026-08-24,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,817.22
2026-08-25,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-26,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,705.89
2026-08-27,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-29,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-30,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,733.33
2026-08-31,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.43
2026-09-01,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-09-03,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-09-04,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
